Mode;Unit;Value;Temp;Time;Date
MEDIÇÃO DE pH;pH;0.42;24.19;1000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.48;24.35;2000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.49;24.63;3000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.49;24.68;4000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.49;24.68;5000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.58;24.52;6000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.64;24.74;7000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.71;24.80;8000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.73;24.50;9000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.78;24.15;10000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.82;24.01;11000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.85;24.46;12000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.90;24.81;13000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.96;24.28;14000;10/06/2024 22:53:11
MEDIÇÃO DE pH;pH;0.97;24.85;15000;10/06/2024 22:53:11
